Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40486625.33,4082166.857,0,0.409805,0.439896,0.384897,0.449538,0.444141,0.447483,0.432071,0.421185,0.456507,0.46239,0.426818,0.44871,0.431304,0.46321,0.446607,0.453309,0.447952,0.463282,0.47108,0.440982,0.420105,0.45901,0.452915,0.435511,0.455272,0.455733,0.454638,0.458064,0.456006,0.46007,0.442834,0.455131,0.44733,0.449682,0.454986,0.443792,0.452887,0.435196,0.445058,101,40
40489300.26,4082163.075,0,0.432143,0.461693,0.407144,0.470087,0.464033,0.467901,0.452109,0.441504,0.477187,0.484406,0.44838,0.467981,0.445136,0.482801,0.467091,0.472827,0.467397,0.483173,0.492172,0.461268,0.441467,0.479152,0.473053,0.456211,0.475002,0.475552,0.473911,0.478198,0.476176,0.479811,0.463452,0.475155,0.467744,0.469315,0.475153,0.464031,0.47231,0.455705,0.465522,101,41
40491083.55,4082161.021,0,0.444212,0.470374,0.42083,0.479887,0.473508,0.477137,0.462758,0.450828,0.486299,0.497202,0.459012,0.476548,0.456846,0.492843,0.477361,0.483305,0.475658,0.492249,0.504017,0.473416,0.449739,0.489272,0.483097,0.467986,0.484097,0.486162,0.483244,0.489825,0.483788,0.48922,0.47326,0.4838,0.478345,0.481018,0.486222,0.473314,0.483635,0.465853,0.475479,101,42
40492866.84,4082159.34,0,0.449241,0.47644,0.423327,0.485269,0.478343,0.481862,0.467157,0.45616,0.492204,0.501012,0.463638,0.481215,0.446895,0.496794,0.482171,0.487575,0.480302,0.497247,0.507181,0.477437,0.456193,0.493575,0.487497,0.47288,0.488765,0.489939,0.48742,0.49348,0.489321,0.493155,0.477555,0.488287,0.48266,0.484314,0.490116,0.478035,0.48769,0.470827,0.48019,101,43
40494650.13,4082158.033,0,0.457286,0.484219,0.432402,0.491835,0.485407,0.487749,0.473947,0.463213,0.499137,0.507421,0.470634,0.486882,0.461231,0.502678,0.488876,0.494324,0.485678,0.503503,0.512726,0.485658,0.464447,0.499063,0.494174,0.481467,0.494752,0.496004,0.493006,0.499966,0.495249,0.498824,0.484384,0.494383,0.489335,0.49176,0.496555,0.484372,0.493926,0.478369,0.486787,101,44
40497325.07,4082156.772,0,0.477484,0.502474,0.45242,0.510528,0.504059,0.505631,0.493468,0.482763,0.516871,0.524743,0.488631,0.504138,0.489732,0.520588,0.507674,0.513316,0.50245,0.521839,0.529634,0.504268,0.483982,0.517152,0.512485,0.500819,0.512175,0.513586,0.510816,0.517657,0.513029,0.516373,0.501634,0.511813,0.507186,0.509365,0.513999,0.502351,0.511395,0.496742,0.505101,101,45
40499108.36,4082156.399,0,0.500421,0.521434,0.481009,0.531556,0.52669,0.526151,0.516668,0.502876,0.537276,0.546767,0.510524,0.525345,0.521863,0.543607,0.530348,0.537423,0.521843,0.543527,0.55204,0.53076,0.504482,0.538885,0.535668,0.526187,0.533838,0.53673,0.533141,0.541722,0.532723,0.537971,0.524694,0.533048,0.529948,0.535746,0.537255,0.523782,0.535027,0.51934,0.527095,101,46
40487520.23,4084385.051,0,0.53153,0.549545,0.516267,0.561152,0.557167,0.555201,0.548298,0.532485,0.565884,0.576342,0.540448,0.554926,0.546988,0.574033,0.561129,0.569212,0.549425,0.573643,0.582037,0.563908,0.533597,0.56851,0.566375,0.558817,0.563181,0.567269,0.563448,0.572823,0.561155,0.567729,0.555026,0.562142,0.560227,0.568514,0.567722,0.553325,0.566215,0.549882,0.557218,101,47
40489303.05,4084382.623,0,0.525906,0.544173,0.511114,0.555794,0.551716,0.549416,0.543835,0.528987,0.560094,0.567624,0.533355,0.549419,0.537071,0.567359,0.555559,0.564062,0.543107,0.568069,0.573448,0.557302,0.529826,0.562346,0.560348,0.552786,0.556971,0.560246,0.557437,0.565195,0.555961,0.561434,0.547199,0.555797,0.553436,0.561974,0.560374,0.547338,0.559454,0.544267,0.551453,101,48
40491085.88,4084380.568,0,0.521586,0.540287,0.507652,0.552453,0.547643,0.545717,0.541324,0.525816,0.555675,0.562289,0.528343,0.545878,0.521005,0.563647,0.552298,0.561318,0.53875,0.564318,0.568783,0.55272,0.52577,0.55914,0.55685,0.547921,0.553091,0.556251,0.553876,0.560786,0.552297,0.557821,0.541449,0.551432,0.549022,0.558305,0.555944,0.543221,0.555783,0.540007,0.547791,101,49
