Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40489298.87,4081053.304,0,46.4217,7.14534,1.16267,32.95,1044.52,2.10137,0.225292,0.0325803,15.4988,62.4686,23.1848,387.663,8.12221,21.3243,26.696,612.52,0.409194,17.3349,28.9009,279.75,36.4928,0.371962,2.39923,245.238,10.5563,3821.69,1.88203,78.6198,1.84308,24.4495,38.3119,343.476,13.6073,1.89513,4.18115,2.65863,1.14116,1.90793,68.307,101,34
40491082.39,4081051.25,0,48.339,8.22138,1.27185,34.0103,995.209,2.12886,0.25253,0.0362197,15.5139,63.613,24.1226,382.875,9.64361,23.7324,26.269,630.525,0.447768,18.5766,30.7268,270.153,33.7891,0.408136,2.52158,214.332,11.9469,4056.32,2.07478,80.1421,2.45035,26.0854,39.8991,385.908,13.488,1.72809,4.21178,2.66667,1.13024,1.80476,68.3196,101,35
40492864.98,4079939.801,0,43.2935,7.5849,1.12658,34.9689,958.415,2.17146,0.257087,0.0379838,15.8596,65.2653,24.8434,395.607,11.2558,26.0227,26.1812,652.572,0.459788,18.2763,32.7153,255.007,30.0152,0.449459,2.58429,192.98,12.6988,4349.93,2.27117,83.1665,2.43521,28.0558,42.6396,424.497,13.5339,1.59719,4.31021,2.6968,1.11989,1.73263,68.8772,101,36
40494648.74,4079938.494,0,45.8127,8.15906,1.22461,35.4746,960.328,2.32416,0.29379,0.0451671,16.1143,70.787,26.751,457.02,13.0499,29.2893,26.7586,687.649,0.580989,19.6837,35.9007,267.39,29.1061,0.523161,2.71581,182.156,14.293,4638.97,2.59793,87.816,4.10066,30.8826,47.6137,473.678,13.6691,1.60297,4.56484,2.7576,1.18267,1.70248,69.7958,101,37
40497324.37,4079937.233,0,43.0308,8.33153,1.29183,33.8765,882.964,2.29056,0.279166,0.0451666,15.7079,73.4304,26.7204,476.167,13.0866,29.787,26.1177,689.031,0.571341,19.2152,35.8567,272.799,26.5692,0.545505,2.59629,168.346,14.2034,4706.98,2.68038,87.8029,3.89129,31.0926,48.4654,476.984,13.5148,1.55794,4.62989,2.68485,1.19826,1.63402,69.2328,101,38
40499108.12,4079936.86,0,44.9792,11.1224,1.71391,34.2003,828.642,2.22055,0.281023,0.0475849,16.1929,81.4048,27.9997,486.738,13.9227,30.1031,26.2099,689.19,0.576914,19.3844,38.4028,279.641,25.8354,0.97376,2.60327,163.755,14.567,4762.8,2.82264,90.2334,4.26916,31.3901,48.0537,470.233,13.4623,1.59965,4.73535,2.62604,1.26522,1.63857,69.3238,101,39
40486625.33,4082166.857,0,37.9523,9.52452,1.25585,33.655,764.357,2.16092,0.229872,0.0413161,15.7456,82.8684,26.3354,440.44,14.2325,28.0262,25.485,652.18,0.460945,16.8806,36.7118,265.581,24.4953,0.6038,2.41438,155.45,12.5004,4617.51,2.40593,88.4151,2.6123,29.5011,45.174,429.327,13.3789,1.44938,4.62666,2.56078,1.22232,1.59935,68.9213,101,40
40489300.26,4082163.075,0,45.304,13.3214,1.67195,35.7845,778.074,2.28558,0.251895,0.0489028,17.3372,95.8674,29.1048,430.71,15.5385,29.4112,26.2692,665.509,0.512933,17.0788,40.4394,287.87,26.5066,0.991182,2.53291,159.159,13.9726,4704.8,2.48375,91.5651,3.979,30.421,46.6812,440.804,13.5694,1.49871,4.80955,2.60673,1.26289,1.64192,69.5871,101,41
40491083.55,4082161.021,0,42.8212,12.0233,1.37864,35.0478,737.965,2.2179,0.23612,0.0445855,15.9459,97.7509,26.9875,372.984,13.956,26.474,25.4074,633.635,0.418781,15.6735,37.9431,275.662,24.4583,0.86388,2.32559,157.582,12.2975,4480.01,2.22737,86.7221,2.82948,28.4928,41.3731,399.586,13.3388,1.41511,4.54971,2.49861,1.19481,1.63214,69.2069,101,42
40492866.84,4082159.34,0,39.1409,10.709,1.2234,34.8964,736.918,2.15667,0.215968,0.0429354,15.779,91.6428,25.7643,365.524,13.0861,25.4438,25.2028,612.641,0.381818,15.5308,35.7817,272.087,24.53,0.67677,2.26823,164.543,11.7154,4333.62,2.11324,84.6778,2.32204,26.7377,40.4793,386.509,13.2885,1.38651,4.41103,2.47446,1.15934,1.65058,69.2384,101,43
40494650.13,4082158.033,0,37.8353,13.4565,1.2953,35.3979,749.588,2.10212,0.211799,0.0426037,16.1425,91.0188,25.2374,361.708,12.2791,24.6392,25.1714,609.508,0.359578,15.6396,34.4461,281.435,25.4164,0.538839,2.26755,176.447,11.4542,4247.33,2.03717,84.0222,1.98288,25.7247,39.5073,380.987,13.2337,1.41157,4.33856,2.44385,1.14956,1.7143,69.5324,101,44
40497325.07,4082156.772,0,39.1392,12.4248,1.46985,35.9879,773.999,2.02105,0.210888,0.0414076,15.5156,86.6194,24.04,350.212,11.0878,23.8415,25.4904,631.612,0.331517,15.5877,32.989,280.619,25.9746,0.704152,2.26598,189.291,11.113,4147.34,1.99267,82.2532,2.19892,24.9137,37.1546,367.852,13.1266,1.38262,4.19203,2.44474,1.11341,1.74476,70.154,101,45
40499108.36,4082156.399,0,38.8674,14.0376,1.72239,35.7208,792.987,1.92884,0.220947,0.0411478,14.9164,83.159,23.0367,346.954,11.0977,23.7646,25.5979,671.455,0.30712,15.485,31.5276,295.459,25.3901,0.64716,2.2901,205.036,11.242,4122.69,2.00905,80.5062,1.91889,24.5652,35.3146,358.879,12.9515,1.49208,4.11483,2.39409,1.11321,1.79223,70.0978,101,46
40487520.23,4084385.051,0,36.505,11.5814,1.70303,36.076,826.884,1.86984,0.232484,0.0397338,14.6408,79.9051,22.2712,344.322,10.8421,23.5976,26.0941,718.543,0.275826,15.1871,31.3116,311.892,24.9287,0.525598,2.29232,227.853,10.9173,4148.94,2.02654,81.1578,1.63933,24.4768,34.3939,344.695,12.8983,1.58711,4.09267,2.40047,1.15362,1.85233,70.5481,101,47
40489303.05,4084382.623,0,35.712,11.0478,1.87891,35.8059,841.936,1.82715,0.247901,0.0398238,14.2501,72.5086,21.051,341.772,10.5102,23.4615,26.4144,749.663,0.266356,15.133,29.0117,326.084,25.2051,0.549559,2.33628,238.678,10.6372,4091.7,2.01461,80.0825,1.6111,23.9309,32.6279,331.055,12.7418,1.67099,4.01233,2.36612,1.15688,1.8808,70.6776,101,48
40491085.88,4084380.568,0,35.213,9.85016,1.72096,35.4958,832.169,1.80617,0.266221,0.0394127,13.4919,67.7931,20.1949,336.526,10.5354,23.5714,27.0581,771.361,0.258372,14.9911,28.2089,327.06,24.5052,0.500501,2.3644,233.594,10.34,4077.32,2.01086,79.1407,1.59849,23.8849,30.6915,318.757,12.5844,1.72578,3.9639,2.31671,1.16096,1.85338,70.7704,101,49
40492868.7,4084378.887,0,39.9801,12.0515,3.93887,37.7033,874.75,1.86475,0.347347,0.0486374,13.9207,69.9303,21.2464,353.793,11.7215,25.7689,29.0922,882.429,0.279291,15.6261,30.1949,361.219,25.9171,0.833004,2.63605,241.889,11.2931,4269.75,2.1872,83.7881,2.06758,25.1781,31.376,323.962,12.6921,2.02678,4.15173,2.36564,1.26611,1.89558,71.6824,101,50
40495542.94,4084377.066,0,39.1009,10.5904,2.68822,36.349,836.479,1.82684,0.329417,0.0497422,13.0223,65.5436,20.2813,350.211,11.592,25.1579,28.4157,887.437,0.260858,14.9688,28.596,351.806,24.4105,0.641834,2.54784,233.037,10.7342,4206.04,2.12338,81.5982,1.62207,24.558,29.4175,310.936,12.5179,2.16629,4.09301,2.26172,1.26629,1.83301,71.0887,101,51
40497325.76,4084376.319,0,35.9189,8.32499,1.91838,34.8734,801.343,1.79234,0.283408,0.0482096,12.2062,62.1435,19.262,345.817,11.3744,24.4843,27.8444,879.952,0.245168,14.2927,27.1982,345.393,23.1893,0.499798,2.44314,225.515,10.0999,4134.4,2.03336,79.9381,1.45369,23.7923,28.0525,303.139,12.3845,2.25438,4.02328,2.15079,1.25783,1.78217,70.5164,101,52
